Key                           , English                                                                                                                                                                             , Vietnamese
mainScene.Text.DykingPhase    , Protect the city by building dikes                                                                                                                                                  , Bảo vệ thành phố bằng cách xây dựng đê điều
mainScene.Text.FloodingPhase  , NHẬT LỆ RIVER OVERFLOWS IN ĐỒNG HỚI                                                                                                                                                 , LŨ TRÊN SÔNG NHẬT LỆ TẠI ĐỒNG HỚI
mainScene.Text.Waiting        , Waiting for other players...                                                                                                                                                        , Đang đợi các người chơi khác...
mainScene.Text.Casualties     , Casualties:                                                                                                                                                                         , Thương vong:
mainScene.Text.Score          , Score:                                                                                                                                                                              , Điểm:
mainScene.Text.Resources      , Resource left to build                                                                                                                                                              , Tài nguyên còn lại để xây
mainScene.Button.BuildDyke    , Ready!                                                                                                                                                                              , Sẵn sàng!
mainScene.Button.Restart      , Play again                                                                                                                                                                          , Chơi lại
tutorial.Text.DykingBuilding  , Nice! We need to build new dykes. Press and hold the right trigger button to start building a dyke. Move your controller and release the trigger button to confirm the dyke building, Tốt lắm! Giờ chúng ta cần xây đê mới. Nhấn và giữ nút cò tay phải để bắt đầu xây một cái đê. Di chuyển tay cầm và nhả nút cò để xác nhận xây đê.
tutorial.Text.DykingDestroying, This dyke is not protecting the city effectively. Use the right grip button to destroy a dyke                                                                                       , Cái đê này đang không hoạt động tốt để bảo vệ thành phố. Nhấn nút hông tay phải để phá huỷ nó.
tutorial.Text.StartGame       , Congratulations! You're ready to play the game                                                                                                                                      , Chúc mừng! Bạn đã sẵn sàng để chơi trò chơi.
tutorial.Button.Start         , Start                                                                                                                                                                               , Bắt đầu
